degree,fold,train_mse,val_mse,alpha,train_size,val_size
1,1,100639622.88958563,77093255.07725246,10.0,348872,38764
1,2,96472255.14729679,114562025.96035515,10.0,348872,38764
1,3,100697870.23665203,76545533.4367651,10.0,348872,38764
1,4,98798881.78580116,93598427.29134253,10.0,348872,38764
1,5,95899086.4781511,119762103.9852604,10.0,348872,38764
1,6,98559224.36281614,95802128.16231726,10.0,348872,38764
1,7,93772787.75546677,139070143.91504762,10.0,348873,38763
1,8,99732906.77685872,85322397.96660371,10.0,348873,38763
1,9,100478239.8958821,78497175.78496055,10.0,348873,38763
1,10,97655183.2224461,103960300.8113953,1.0,348873,38763
2,1,84292036.64436,74652418.46253558,0.01,348872,38764
2,2,82556159.86122474,98588160.20723315,1.0,348872,38764
2,3,83992365.71107106,78002434.4579111,0.1,348872,38764
2,4,83626164.41642389,80611252.8557398,0.01,348872,38764
2,5,81998955.48509063,97545996.73983888,0.01,348872,38764
2,6,82658025.71306738,92809826.73923057,0.01,348872,38764
2,7,81581056.77688347,109466348.23987259,0.01,348873,38763
2,8,84245404.89600162,75082110.50055443,0.01,348873,38763
2,9,83603816.06507668,87044638.10191791,0.1,348873,38763
2,10,82628665.11426054,92410675.91158116,0.1,348873,38763
3,1,73978268.72978684,77330997.17280683,1.0,348872,38764
3,2,74579627.25297005,2839603506.602413,10.0,348872,38764
3,3,74038716.46048024,79494660.8508464,1.0,348872,38764
3,4,73689058.69792993,81831945.35938197,1.0,348872,38764
3,5,72122479.84771721,106419106.12071057,0.1,348872,38764
3,6,74611022.44501406,140524509.73714724,10.0,348872,38764
3,7,73068556.44656537,151854633.08131978,1.0,348873,38763
3,8,76258782.71018709,75087489.13363397,10.0,348873,38763
3,9,75649344.30119686,339701533.5977025,10.0,348873,38763
3,10,74834453.1050981,129380858.13227335,10.0,348873,38763
